name,pokedex_number,percentage_male,type1,type2,classification,capture_rate,base_egg_steps,abilities,experience_growth,base_happiness,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
Arbok,24,50.0,poison,No Secondary Type,Cobra ,90,5120,"['Intimidate', 'Shed Skin', 'Unnerve']",1000000,70,60,95,69,65,79,80,1,0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
Pikachu,25,50.0,electric,No Secondary Type,Mouse ,190,2560,"['Static', 'Lightningrod']",1000000,70,35,55,40,50,50,90,1,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Raichu,26,50.0,electric,electric,Mouse ,75,2560,"['Static', 'Lightningrod', 'Surge Surfer']",1000000,70,60,85,50,95,85,110,1,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Sandshrew,27,50.0,ground,ice,Mouse ,255,5120,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1000000,70,50,75,90,10,35,40,1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Sandslash,28,50.0,ground,ice,Mouse ,90,5120,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1000000,70,75,100,120,25,65,65,1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Nidoran♀,29,0.0,poison,No Secondary Type,Poison Pin ,235,5120,"['Poison Point', 'Rivalry', 'Hustle']",1059860,70,55,47,52,40,40,41,1,0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
Nidorina,30,0.0,poison,No Secondary Type,Poison Pin ,120,5120,"['Poison Point', 'Rivalry', 'Hustle']",1059860,70,70,62,67,55,55,56,1,0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
Nidoqueen,31,0.0,poison,ground,Drill ,45,5120,"['Poison Point', 'Rivalry', 'Sheer Force']",1059860,70,90,92,87,75,85,76,1,0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
Nidoran♂,32,100.0,poison,No Secondary Type,Poison Pin ,235,5120,"['Poison Point', 'Rivalry', 'Hustle']",1059860,70,46,57,40,40,40,50,1,0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
Nidorino,33,100.0,poison,No Secondary Type,Poison Pin ,120,5120,"['Poison Point', 'Rivalry', 'Hustle']",1059860,70,61,72,57,55,55,65,1,0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
Nidoking,34,100.0,poison,ground,Drill ,45,5120,"['Poison Point', 'Rivalry', 'Sheer Force']",1059860,70,81,102,77,85,75,85,1,0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
Clefairy,35,24.6,fairy,No Secondary Type,Fairy ,150,2560,"['Cute Charm', 'Magic Guard', 'Friend Guard']",800000,140,70,45,48,60,65,35,1,0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Clefable,36,24.6,fairy,No Secondary Type,Fairy ,25,2560,"['Cute Charm', 'Magic Guard', 'Unaware']",800000,140,95,70,73,95,90,60,1,0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Vulpix,37,24.6,fire,ice,Fox ,190,5120,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",1000000,70,38,41,40,50,65,65,1,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Ninetales,38,24.6,fire,ice,Fox ,75,5120,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",1000000,70,73,67,75,81,100,109,1,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Jigglypuff,39,24.6,normal,fairy,Balloon ,170,2560,"['Cute Charm', 'Competitive', 'Friend Guard']",800000,70,115,45,20,45,25,20,1,0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Wigglytuff,40,24.6,normal,fairy,Balloon ,50,2560,"['Cute Charm', 'Competitive', 'Frisk']",800000,70,140,70,45,85,50,45,1,0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Zubat,41,50.0,poison,flying,Bat ,255,3840,"['Inner Focus', 'Infiltrator']",1000000,70,40,45,35,30,40,55,1,0,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
Golbat,42,50.0,poison,flying,Bat ,90,3840,"['Inner Focus', 'Infiltrator']",1000000,70,75,80,70,65,75,90,1,0,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
Oddish,43,50.0,grass,poison,Weed ,255,5120,"['Chlorophyll', 'Run Away']",1059860,70,45,50,55,75,65,30,1,0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Gloom,44,50.0,grass,poison,Weed ,120,5120,"['Chlorophyll', 'Stench']",1059860,70,60,65,70,85,75,40,1,0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Vileplume,45,50.0,grass,poison,Flower ,45,5120,"['Chlorophyll', 'Effect Spore']",1059860,70,75,80,85,110,90,50,1,0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Paras,46,50.0,bug,grass,Mushroom ,190,5120,"['Effect Spore', 'Dry Skin', 'Damp']",1000000,70,35,70,55,45,55,25,1,0,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
Parasect,47,50.0,bug,grass,Mushroom ,75,5120,"['Effect Spore', 'Dry Skin', 'Damp']",1000000,70,60,95,80,60,80,30,1,0,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
Venonat,48,50.0,bug,poison,Insect ,190,5120,"['Compoundeyes', 'Tinted Lens', 'Run Away']",1000000,70,60,55,50,40,55,45,1,0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Venomoth,49,50.0,bug,poison,Poison Moth ,75,5120,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",1000000,70,70,65,60,90,75,90,1,0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Diglett,50,50.0,ground,ground,Mole ,255,5120,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1000000,70,10,55,30,35,45,90,1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Dugtrio,51,50.0,ground,ground,Mole ,50,5120,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1000000,70,35,100,60,50,70,110,1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Meowth,52,50.0,normal,dark,Scratch Cat ,255,5120,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1000000,70,40,35,35,50,40,90,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Persian,53,50.0,normal,dark,Classy Cat ,90,5120,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1000000,70,65,60,60,75,65,115,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Psyduck,54,50.0,water,No Secondary Type,Duck ,190,5120,"['Damp', 'Cloud Nine', 'Swift Swim']",1000000,70,50,52,48,65,50,55,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Golduck,55,50.0,water,No Secondary Type,Duck ,75,5120,"['Damp', 'Cloud Nine', 'Swift Swim']",1000000,70,80,82,78,95,80,85,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Mankey,56,50.0,fighting,No Secondary Type,Pig Monkey ,190,5120,"['Vital Spirit', 'Anger Point', 'Defiant']",1000000,70,40,80,35,35,45,70,1,0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
Primeape,57,50.0,fighting,No Secondary Type,Pig Monkey ,75,5120,"['Vital Spirit', 'Anger Point', 'Defiant']",1000000,70,65,105,60,60,70,95,1,0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
Growlithe,58,75.4,fire,No Secondary Type,Puppy ,190,5120,"['Intimidate', 'Flash Fire', 'Justified']",1250000,70,55,70,45,70,50,60,1,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Arcanine,59,75.4,fire,No Secondary Type,Legendary ,75,5120,"['Intimidate', 'Flash Fire', 'Justified']",1250000,70,90,110,80,100,80,95,1,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Poliwag,60,50.0,water,No Secondary Type,Tadpole ,255,5120,"['Water Absorb', 'Damp', 'Swift Swim']",1059860,70,40,50,40,40,40,90,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Poliwhirl,61,50.0,water,No Secondary Type,Tadpole ,120,5120,"['Water Absorb', 'Damp', 'Swift Swim']",1059860,70,65,65,65,50,50,90,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Poliwrath,62,50.0,water,fighting,Tadpole ,45,5120,"['Water Absorb', 'Damp', 'Swift Swim']",1059860,70,90,95,95,70,90,70,1,0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5
Abra,63,75.4,psychic,No Secondary Type,Psi ,200,5120,"['Synchronize', 'Inner Focus', 'Magic Guard']",1059860,70,25,20,15,105,55,90,1,0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Kadabra,64,75.4,psychic,No Secondary Type,Psi ,100,5120,"['Synchronize', 'Inner Focus', 'Magic Guard']",1059860,70,40,35,30,120,70,105,1,0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Alakazam,65,75.4,psychic,No Secondary Type,Psi ,50,5120,"['Synchronize', 'Inner Focus', 'Magic Guard']",1059860,70,55,50,65,175,105,150,1,0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Machop,66,75.4,fighting,No Secondary Type,Superpower ,180,5120,"['Guts', 'No Guard', 'Steadfast']",1059860,70,70,80,50,35,35,35,1,0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
Machoke,67,75.4,fighting,No Secondary Type,Superpower ,90,5120,"['Guts', 'No Guard', 'Steadfast']",1059860,70,80,100,70,50,60,45,1,0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
Machamp,68,75.4,fighting,No Secondary Type,Superpower ,45,5120,"['Guts', 'No Guard', 'Steadfast']",1059860,70,90,130,80,65,85,55,1,0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
Bellsprout,69,50.0,grass,poison,Flower ,255,5120,"['Chlorophyll', 'Gluttony']",1059860,70,50,75,35,70,30,40,1,0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Weepinbell,70,50.0,grass,poison,Flycatcher ,120,5120,"['Chlorophyll', 'Gluttony']",1059860,70,65,90,50,85,45,55,1,0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Victreebel,71,50.0,grass,poison,Flycatcher ,45,5120,"['Chlorophyll', 'Gluttony']",1059860,70,80,105,65,100,70,70,1,0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Tentacool,72,50.0,water,poison,Jellyfish ,190,5120,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1250000,70,40,40,35,50,100,70,1,0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
Tentacruel,73,50.0,water,poison,Jellyfish ,60,5120,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1250000,70,80,70,65,80,120,100,1,0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
Geodude,74,50.0,rock,ground,Rock ,255,3840,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1059860,70,40,80,100,30,30,20,1,0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Graveler,75,50.0,rock,ground,Rock ,120,3840,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1059860,70,55,95,115,45,45,35,1,0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Golem,76,50.0,rock,ground,Megaton ,45,3840,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1059860,70,80,120,130,55,65,45,1,0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Ponyta,77,50.0,fire,No Secondary Type,Fire Horse ,190,5120,"['Run Away', 'Flash Fire', 'Flame Body']",1000000,70,50,85,55,65,65,90,1,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Rapidash,78,50.0,fire,No Secondary Type,Fire Horse ,60,5120,"['Run Away', 'Flash Fire', 'Flame Body']",1000000,70,65,100,70,80,80,105,1,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Slowpoke,79,50.0,water,psychic,Dopey ,190,5120,"['Oblivious', 'Own Tempo', 'Regenerator']",1000000,70,90,65,65,40,40,15,1,0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
Slowbro,80,50.0,water,psychic,Hermit Crab ,75,5120,"['Oblivious', 'Own Tempo', 'Regenerator']",1000000,70,95,75,180,130,80,30,1,0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
Magnemite,81,50.0,electric,steel,Magnet ,190,5120,"['Magnet Pull', 'Sturdy', 'Analytic']",1000000,70,25,35,70,95,55,45,1,0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
Magneton,82,50.0,electric,steel,Magnet ,60,5120,"['Magnet Pull', 'Sturdy', 'Analytic']",1000000,70,50,60,95,120,70,70,1,0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
Farfetch'd,83,50.0,normal,flying,Wild Duck ,45,5120,"['Keen Eye', 'Inner Focus', 'Defiant']",1000000,70,52,90,55,58,62,60,1,0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Doduo,84,50.0,normal,flying,Twin Bird ,190,5120,"['Run Away', 'Early Bird', 'Tangled Feet']",1000000,70,35,85,45,35,35,75,1,0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Dodrio,85,50.0,normal,flying,Triple Bird ,45,5120,"['Run Away', 'Early Bird', 'Tangled Feet']",1000000,70,60,110,70,60,60,110,1,0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Seel,86,50.0,water,No Secondary Type,Sea Lion ,190,5120,"['Thick Fat', 'Hydration', 'Ice Body']",1000000,70,65,45,55,45,70,45,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Dewgong,87,50.0,water,ice,Sea Lion ,75,5120,"['Thick Fat', 'Hydration', 'Ice Body']",1000000,70,90,70,80,70,95,70,1,0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
Grimer,88,50.0,poison,poison,Sludge ,190,5120,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",1000000,70,80,80,50,40,50,25,1,0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
Muk,89,50.0,poison,poison,Sludge ,75,5120,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",1000000,70,105,105,75,65,100,50,1,0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
